authorID,fullName,firstName,surName,title
a01, Anderson, Nephi, Nephi, Anderson, 
a010, McMurry, Lida B. (Lida Brown), Lida B. (Lida Brown), McMurry, 
a0100, Balzac, Honoré de, Honoré de, Balzac, 
a0101, Marriage, Ellen, Ellen, Marriage, 
a0102, Tarn, W. W. (William Woodthorpe), W. W. (William Woodthorpe), Tarn, 
a0103, Wodehouse, P. G. (Pelham Grenville), P. G. (Pelham Grenville), Wodehouse, 
a0104, Nash, Wallis, Wallis, Nash, 
a0105, Wissler, Clark, Clark, Wissler, 
a0106, Guild, C. S. (Caroline Snowden), C. S. (Caroline Snowden), Guild, 
a0107, Kipling, Rudyard, Rudyard, Kipling, 
a0108, Harris, Joel Chandler, Joel Chandler, Harris, 
a0109, Lathrop, Elise, Elise, Lathrop, 
a011, Dickinson, Asa Don, Asa Don, Dickinson, 
a0110, Schubin, Ossip, Ossip, Schubin, 
a0111, Flammarion, Camille, Camille, Flammarion, 
a0112, Welby, Frances A. (Frances Alice), Frances A. (Frances Alice), Welby, 
a0113, Vaknin, Samuel, Samuel, Vaknin, 
a0114, United States. Central Intelligence Agency, United, States. Central Intelligence Agency, 
a0115, Notestein, Wallace, Wallace, Notestein, 
a0116, Dewar, Douglas, Douglas, Dewar, 
a0117, Hope, Anthony, Anthony, Hope, 
a0118, Falconer, William, William, Falconer, 
a0119, Blair, Robert, Robert, Blair, 
a012, Blanchan, Neltje, Neltje, Blanchan, 
a0120, Gilfillan, George, George, Gilfillan, 
a0121, Beattie, James, James, Beattie, 
a0122, O'Brien, Edward Joseph Harrington, Edward Joseph Harrington, O'Brien, 
a0123, Hawthorne, Nathaniel, Nathaniel, Hawthorne, 
a0124, Curtin, Jeremiah, Jeremiah, Curtin, 
a0125, Sienkiewicz, Henryk, Henryk, Sienkiewicz, 
a0126, Leslie, Lawrence J., Lawrence J., Leslie, 
a0127, Synge, J. M. (John Millington), J. M. (John Millington), Synge, 
a0128, Pennell, Elizabeth Robins, Elizabeth Robins, Pennell, 
a0129, Santayana, George, George, Santayana, 
a013, Scott, A. J. (Alexander John), A. J. (Alexander John), Scott, 
a0130, Colman, Miss (Pamela Atkins), Miss (Pamela Atkins), Colman, 
a0131, Brant, Sebastian, Sebastian, Brant, 
a0132, Barclay, Alexander, Alexander, Barclay, 
a0133, Jamieson, T. H. (Thomas Hill), T. H. (Thomas Hill), Jamieson, 
a0134, Darrow, Clarence, Clarence, Darrow, 
a0135, Currie, Barton Wood, Barton Wood, Currie, 
a0136, McHugh, Augustin, Augustin, McHugh, 
a0137, Smollett, T. (Tobias), T. (Tobias), Smollett, 
a0138, Fleming, William F., William F., Fleming, 
a0139, Morley, John, John, Morley, 
a014, Groves, Anthony Norris, Anthony Norris, Groves, 
a0140, Fawcett, Edgar, Edgar, Fawcett, 
a0141, Howard, William Guild, William Guild, Howard, 
a0142, Francke, Kuno, Kuno, Francke, 
a0143, Reid, Thomas H., Thomas H., Reid, 
a0144, Poe, Clarence Hamilton, Clarence Hamilton, Poe, 
a0145, Beer, Margrieta, Margrieta, Beer, 
a0146, Le Fanu, Joseph Sheridan, Joseph Sheridan, Le Fanu, 
a0147, Hodgson, Randolph Llewellyn, Randolph Llewellyn, Hodgson, 
a0148, Thurn und Taxis, Marie, Princess, Marie, Thurn und Taxis, Princess
a0149, De Lacy, Charles J., Charles J., De Lacy, 
a015, Sinclair, Catherine, Catherine, Sinclair, 
a0150, Kingston, William Henry Giles, William Henry Giles, Kingston, 
a0151, Glass, Nancy Rebecca Campbell, Nancy Rebecca Campbell, Glass, 
a0152, Goddard, Charles, Charles, Goddard, 
a0153, Frings, Math Josef, Math Josef, Frings, 
a0154, Burnand, F. C. (Francis Cowley), F. C. (Francis Cowley), Burnand, 
a0155, Stratemeyer, Edward, Edward, Stratemeyer, 
a0156, Pyle, Katharine, Katharine, Pyle, 
a0157, O'Brien, James, James, O'Brien, 
a0158, Wilson, Sarah Isabella Augusta, Lady, Sarah Isabella Augusta, Wilson, Lady
a0159, Munroe, Kirk, Kirk, Munroe, 
a016, Murphy, Charles Royier, Charles Royier, Murphy, 
a0160, Rogers, W. A. (William Allen), W. A. (William Allen), Rogers, 
a0161, Reade, Charles, Charles, Reade, 
a0162, Lowndes, Marie Belloc, Marie Belloc, Lowndes, 
a0163, Bourne, Edward Gaylord, Edward Gaylord, Bourne, 
a0164, Blair, Emma Helen, Emma Helen, Blair, 
a0165, Robertson, James Alexander, James Alexander, Robertson, 
a0166, Bangs, John Kendrick, John Kendrick, Bangs, 
a0167, Richards, Ellen H. (Ellen Henrietta), Ellen H. (Ellen Henrietta), Richards, 
a0168, Zola, Émile, Émile, Zola, 
a0169, Vizetelly, Ernest Alfred, Ernest Alfred, Vizetelly, 
a017, Verhaeren, Emile, Emile, Verhaeren, 
a0170, Sergeant, Adeline, Adeline, Sergeant, 
a0171, Stanilard, C. J., C. J., Stanilard, 
a0172, Lamb, Charles, Charles, Lamb, 
a0173, Betts, George Herbert, George Herbert, Betts, 
a0174, Baker, Emilie K. (Emilie Kip), Emilie K. (Emilie Kip), Baker, 
a0175, Browne, Edith A., Edith A., Browne, 
a0176, Burnett, Frances Hodgson, Frances Hodgson, Burnett, 
a0177, Smith, Philip Vernon, Philip Vernon, Smith, 
a0178, Collins, Wilkie, Wilkie, Collins, 
a0179, Ward, Humphry, Mrs., Humphry, Ward, Mrs.
a018, Foote, G. W. (George William), G. W. (George William), Foote, 
a0180, Otway, Thomas, Thomas, Otway, 
a0181, A. L. O. E., A., L. O. E., 
a0182, Bliss, Sylvester, Sylvester, Bliss, 
a0183, Huneker, James, James, Huneker, 
a0184, Baudelaire, Charles, Charles, Baudelaire, 
a0185, Stone, David, David, Stone, 
a0186, Gilbert, Robert E., Robert E., Gilbert, 
a0187, Schoenhofer, Savina O'Bryan, Savina O'Bryan, Schoenhofer, 
a0188, Pennell, Shawn, Shawn, Pennell, 
a0189, Boykin, Anne, Anne, Boykin, 
a019, Shairp, John Campbell, John Campbell, Shairp, 
a0190, Sayce, A. H. (Archibald Henry), A. H. (Archibald Henry), Sayce, 
a0191, McClure, M. L., M. L., McClure, 
a0192, Maspero, G. (Gaston), G. (Gaston), Maspero, 
a0193, Manly, Harold P. (Harold Phillips), Harold P. (Harold Phillips), Manly, 
a0194, Caldecott, Randolph, Randolph, Caldecott, 
a0195, Smith, Francis Hopkinson, Francis Hopkinson, Smith, 
a0196, Kennedy, Joseph, Joseph, Kennedy, 
a0197, Berkeley, George, George, Berkeley, 
a0198, Garnett, Constance, Constance, Garnett, 
a0199, Chekhov, Anton Pavlovich, Anton Pavlovich, Chekhov, 
a02, Craik, Dinah Maria Mulock, Dinah Maria Mulock, Craik, 
a020, United States. Work Projects Administration, United, States. Work Projects Administration, 
a0200, Shea, Robert, Robert, Shea, 
a0201, Francis, Dick, Dick, Francis, 
a0202, Mason, Amelia Gere, Amelia Gere, Mason, 
a0203, Mackenzie, Alexander, Alexander, Mackenzie, 
a0204, Macgregor, Alexander, Alexander, Macgregor, 
a0205, Hammerton, John Alexander, Sir, John Alexander, Hammerton, Sir
a0206, Keene, Charles, Charles, Keene, 
a0207, Reid, Mayne, Mayne, Reid, 
a0208, Westerman, Percy F. (Percy Francis), Percy F. (Percy Francis), Westerman, 
a0209, Hodgson, E. S. (Edward Smith), E. S. (Edward Smith), Hodgson, 
a021, Loti, Pierre, Pierre, Loti, 
a0210, Penn, William, William, Penn, 
a0211, Dods, Marcus, Marcus, Dods, 
a0212, Augustine, Saint, Bishop of Hippo, Saint, Augustine, Bishop of Hippo
a0213, Follen, Eliza Lee Cabot, Eliza Lee Cabot, Follen, 
a0214, Relyea, C. M. (Charles M.), C. M. (Charles M.), Relyea, 
a0215, Richmond, Grace S. (Grace Smith), Grace S. (Grace Smith), Richmond, 
a0216, Wheatley, Henry B. (Henry Benjamin), Henry B. (Henry Benjamin), Wheatley, 
a0217, Pepys, Samuel, Samuel, Pepys, 
a0218, Bright, Mynors, Mynors, Bright, 
