authorID,fullName
a01,"Nephi, Anderson"
a010,"Lida B. (Lida Brown), McMurry"
a0100,"Honoré de, Balzac"
a0101,"Ellen, Marriage"
a0102,"W. W. (William Woodthorpe), Tarn"
a0103,"P. G. (Pelham Grenville), Wodehouse"
a0104,"Wallis, Nash"
a0105,"Clark, Wissler"
a0106,"C. S. (Caroline Snowden), Guild"
a0107,"Rudyard, Kipling"
a0108,"Joel Chandler, Harris"
a0109,"Elise, Lathrop"
a011,"Asa Don, Dickinson"
a0110,"Ossip, Schubin"
a0111,"Camille, Flammarion"
a0112,"Frances A. (Frances Alice), Welby"
a0113,"Samuel, Vaknin"
a0114,"United, Non"
a0115,"Wallace, Notestein"
a0116,"Douglas, Dewar"
a0117,"Anthony, Hope"
a0118,"William, Falconer"
a0119,"Robert, Blair"
a012,"Neltje, Blanchan"
a0120,"George, Gilfillan"
a0121,"James, Beattie"
a0122,"Edward Joseph Harrington, O'Brien"
a0123,"Nathaniel, Hawthorne"
a0124,"Jeremiah, Curtin"
a0125,"Henryk, Sienkiewicz"
a0126,"Lawrence J., Leslie"
a0127,"J. M. (John Millington), Synge"
a0128,"Elizabeth Robins, Pennell"
a0129,"George, Santayana"
a013,"A. J. (Alexander John), Scott"
a0130,"Miss (Pamela Atkins), Colman"
a0131,"Sebastian, Brant"
a0132,"Alexander, Barclay"
a0133,"T. H. (Thomas Hill), Jamieson"
a0134,"Clarence, Darrow"
a0135,"Barton Wood, Currie"
a0136,"Augustin, McHugh"
a0137,"T. (Tobias), Smollett"
a0138,"William F., Fleming"
a0139,"John, Morley"
a014,"Anthony Norris, Groves"
a0140,"Edgar, Fawcett"
a0141,"William Guild, Howard"
a0142,"Kuno, Francke"
a0143,"Thomas H., Reid"
a0144,"Clarence Hamilton, Poe"
a0145,"Margrieta, Beer"
a0146,"Joseph Sheridan, Le Fanu"
a0147,"Randolph Llewellyn, Hodgson"
a0149,"Charles J., De Lacy"
a015,"Catherine, Sinclair"
a0150,"William Henry Giles, Kingston"
a0151,"Nancy Rebecca Campbell, Glass"
a0152,"Charles, Goddard"
a0153,"Math Josef, Frings"
a0154,"F. C. (Francis Cowley), Burnand"
a0155,"Edward, Stratemeyer"
a0156,"Katharine, Pyle"
a0157,"James, O'Brien"
a0159,"Kirk, Munroe"
a016,"Charles Royier, Murphy"
a0160,"W. A. (William Allen), Rogers"
a0161,"Charles, Reade"
a0162,"Marie Belloc, Lowndes"
a0163,"Edward Gaylord, Bourne"
a0164,"Emma Helen, Blair"
a0165,"James Alexander, Robertson"
a0166,"John Kendrick, Bangs"
a0167,"Ellen H. (Ellen Henrietta), Richards"
a0168,"Émile, Zola"
a0169,"Ernest Alfred, Vizetelly"
a017,"Emile, Verhaeren"
a0170,"Adeline, Sergeant"
a0171,"C. J., Stanilard"
a0172,"Charles, Lamb"
a0173,"George Herbert, Betts"
a0174,"Emilie K. (Emilie Kip), Baker"
a0175,"Edith A., Browne"
a0176,"Frances Hodgson, Burnett"
a0177,"Philip Vernon, Smith"
a0178,"Wilkie, Collins"
a018,"G. W. (George William), Foote"
a0180,"Thomas, Otway"
a0181,"A., Non"
a0182,"Sylvester, Bliss"
a0183,"James, Huneker"
a0184,"Charles, Baudelaire"
a0185,"David, Stone"
a0186,"Robert E., Gilbert"
a0187,"Savina O'Bryan, Schoenhofer"
a0188,"Shawn, Pennell"
a0189,"Anne, Boykin"
a019,"John Campbell, Shairp"
a0190,"A. H. (Archibald Henry), Sayce"
a0191,"M. L., McClure"
a0192,"G. (Gaston), Maspero"
a0193,"Harold P. (Harold Phillips), Manly"
a0194,"Randolph, Caldecott"
a0195,"Francis Hopkinson, Smith"
a0196,"Joseph, Kennedy"
a0197,"George, Berkeley"
a0198,"Constance, Garnett"
a0199,"Anton Pavlovich, Chekhov"
a02,"Dinah Maria Mulock, Craik"
a020,"United, Non"
a0200,"Robert, Shea"
a0201,"Dick, Francis"
a0202,"Amelia Gere, Mason"
a0203,"Alexander, Mackenzie"
a0204,"Alexander, Macgregor"
a0206,"Charles, Keene"
a0207,"Mayne, Reid"
a0208,"Percy F. (Percy Francis), Westerman"
a0209,"E. S. (Edward Smith), Hodgson"
a021,"Pierre, Loti"
a0210,"William, Penn"
a0211,"Marcus, Dods"
a0213,"Eliza Lee Cabot, Follen"
a0214,"C. M. (Charles M.), Relyea"
a0215,"Grace S. (Grace Smith), Richmond"
a0216,"Henry B. (Henry Benjamin), Wheatley"
a0217,"Samuel, Pepys"
a0218,"Mynors, Bright"
a022,"Albany, Poyntz"
a0220,"S. Weir (Silas Weir), Mitchell"
a0221,"John K. (John Kearsley), Mitchell"
a0222,"Pearl Norton, Swet"
a0223,"Charles Godfrey, Leland"
a0224,"Joseph Victor von, Scheffel"
a0225,"R. I., Brasher"
a0226,"Chester A. (Chester Albert), Reed"
a0227,"Charles K. (Charles Keller), Reed"
a0228,"Harry F., Harvey"
a0229,"Jean de, La Fontaine"
a023,"George, Gissing"
a0230,"Mildred A. (Mildred Augustine), Wirt"
a0231,"T. Leman (Thomas Leman), Hare"
a0232,"James, Mason"
a0233,"Edwin, Lefevre"
a0234,"Emilie Van Beil, Jacobs"
a0235,"A. O. (Arthur O.), Scott"
a0236,"Nell, Speed"
a0238,"James Smith, Barr"
a0239,"G. Christopher (George Christopher), Davies"
a024,"George S. (George Searle), Phillips"
a0240,"Adam, Walker"
a0241,"Henry, Morley"
a0242,"Jerónimo, Lobo"
a0243,"Samuel, Johnson"
a0244,"Edwin C. (Edwin Campbell), Woolley"
a0245,"Samuel, Butler"
a0247,"Fanny, Burney"
a0248,"John Greenleaf, Whittier"
a0249,"Hulbert, Footner"
a025,"John Maddison, Morton"
a0250,"Bradford, Torrey"
a0251,"William, Le Queux"
a0252,"Thomas, Moore"
a0253,"John, Galsworthy"
a0254,"Daniel, Defoe"
a0255,"Charles Dudley, Warner"
a0256,"Felix, Adler"
a0257,"George Washington, Hood"
a0258,"Arthur, Gray"
a0259,"Jacob, Abbott"
a026,"Mary Wollstonecraft, Shelley"
a0260,"John Lothrop, Motley"
a0261,"C. J. (Clarence James), Dennis"
a0262,"George W. (George Walter), Caldwell"
a0263,"Caroline, Lockhart"
a0264,"William Dean, Howells"
a0265,"George H. (George Henry), Smith"
a0266,"Stephen, Crane"
a0267,"Charles M. (Charles Maus), Taylor"
a0268,"John, Schoenherr"
a0269,"Pauline, Ashwell"
a027,"James Branch, Cabell"
a0270,"J. (Joseph), Ashby-Sterry"
a0271,"Alexander, Black"
a0272,"Stephen M., Ostrander"
a0273,"L. Frank (Lyman Frank), Baum"
a0274,"Alice, Carsey"
a0275,"John, Locke"
a0276,"Robert W. (Robert Walter), Bruère"
a0277,"F., Anstey"
a0278,"Frances Chamberlaine, Sheridan"
a0279,"James Whitcomb, Riley"
a028,"George Pope, Morris"
a0280,"Will, Vawter"
a0281,"Francis, Parkman"
a0282,"Bernard, Shaw"
a0283,"Kenneth, Ingram"
a0284,"James, Waring"
a0285,"William Edward, Duellman"
a0286,"George W. (George Walker), Bush"
a0287,"Lee J. (Lee Joseph), Levinger"
