authorID,bookID
a01,12684
a010,4324
a0100,1345
a0100,1389
a0100,1749
a0101,1389
a0102,34410
a0103,8190
a0104,35288
a0105,35952
a0106,36759
a0107,1937
a0107,2227
a0108,31160
a0109,35491
a011,8866
a0110,35491
a0111,25267
a0112,25267
a0113,12701
a0114,27509
a0115,31511
a0116,18237
a0117,19752
a0118,8695
a0119,8695
a012,8866
a0120,8695
a0121,8695
a0122,39635
a0123,7183
a0123,7877
a0123,976
a0124,35499
a0124,37027
a0125,37027
a0126,9649
a0127,4395
a0128,41696
a0129,16712
a013,29631
a0130,45553
a0131,20179
a0132,20179
a0133,20179
a0134,30731
a0135,30228
a0136,30228
a0137,35623
a0138,35623
a0139,35623
a014,29631
a0140,37185
a0141,14470
a0141,30941
a0142,14470
a0142,30941
a0143,27556
a0144,29546
a0145,47136
a0146,37172
a0147,44461
a0148,44461
a0149,21465
a015,32811
a015,43358
a0150,21465
a0150,21493
a0151,15101
a0152,6065
a0153,18170
a0154,42478
a0154,44759
a0154,46584
a0155,22012
a0155,22996
a0156,47283
a0157,33593
a0158,14466
a0159,26993
a016,45465
a0160,26993
a0161,12470
a0162,2014
a0163,13616
a0164,13616
a0165,13616
a0166,11759
a0167,12366
a0168,5744
a0168,8515
a0169,5744
a0169,8515
a017,45465
a0170,31984
a0171,21493
a0172,7768
a0173,15800
a0174,45489
a0175,46789
a0176,35300
a0176,459
a0176,9487
a0177,40606
a0178,2006
a0179,9821
a018,30204
a0180,31463
a0181,26094
a0182,26639
a0183,36287
a0184,36287
a0185,32238
a0186,32238
a0187,42988
a0188,42988
a0189,42988
a019,21330
a0190,17325
a0191,17325
a0192,17325
a0193,7969
a0194,12109
a0195,3417
a0196,29600
a0197,4722
a0198,13414
a0199,13414
a02,496
a020,13579
a0200,31736
a0201,31736
a0202,2528
a0203,40267
a0204,40267
a0205,37882
a0206,37882
a0207,27981
a0208,36499
a0209,36499
a021,9616
a0210,19377
a0211,45305
a0212,45305
a0213,4027
a0214,19384
a0215,19384
a0216,4172
a0217,4172
a0218,4172
a0219,4172
a022,42921
a0220,16230
a0221,16230
a0222,32639
a0223,35848
a0223,6803
a0224,35848
a0225,45918
a0226,45918
a0227,45918
a0228,45918
a0229,5292
a023,4308
a0230,34850
a0231,42163
a0232,42163
a0233,23171
a0233,33314
a0234,22911
a0235,36672
a0236,36672
a0237,45820
a0238,45820
a0239,35954
a0239,40214
a024,20967
a0240,38369
a0241,1436
a0242,1436
a0243,1436
a0244,35559
a0245,2084
a0246,38513
a0247,29125
a0247,37441
a0248,9593
a0249,26283
a025,49665
a0250,28019
a0251,46236
a0252,16548
a0252,16609
a0253,2902
a0254,14444
a0254,32405
a0255,2674
a0255,5818
a0256,37697
a0257,19392
a0258,19392
a0259,19195
a0259,25174
a0259,25848
a026,6447
a0260,4884
a0261,4730
a0262,6076
a0263,24287
a0264,27880
a0264,28763
a0264,3397
a0265,28892
a0266,40786
a0267,36110
a0268,24278
a0268,27665
a0268,30427
a0269,30427
a027,9663
a0270,42915
a0271,42712
a0272,42712
a0273,21876
a0274,21876
a0275,10616
a0276,36432
a0277,46173
a0278,43437
a0279,19897
a028,2558
a0280,19897
a0281,39768
a0282,3825
a0283,34309
a0284,1749
a0285,33508
a0286,5049
a0287,34440
a0288,22232
a0289,45209
a029,33510
a0290,45209
a0291,42210
a0292,44429
a0293,44429
a0293,5932
a0294,44429
a0295,22877
a0296,22877
a0297,31776
a0298,8457
a0299,44463
a03,1604
a030,3463
a0300,19311
a0301,25684
a0302,668
a0303,668
a0304,34610
a0305,595
a0306,5932
a0307,5932
a0308,4637
a0309,14203
a0309,45811
a031,1134
a031,1136
a031,1794
a0310,45620
a0310,54465
a0311,23426
a0312,24194
a0313,35511
a0314,30451
a0315,30451
a0316,30451
a0317,14590
a0318,6610
a0319,27665
a032,37410
a0320,38380
a0321,17196
a0322,8716
a0323,36651
a0324,36651
a0325,33249
a0326,51611
a0327,16175
a0328,28293
a0329,28293
a033,6145
a0330,35632
a0331,35632
a0332,24561
a0333,39399
a0334,39399
a0335,42868
a0336,42868
a0337,42868
a0338,44498
a0339,23777
a034,6145
a0340,21070
a0341,21070
a0342,12523
a0343,12523
a0344,13675
a0345,32503
a0346,33306
a0347,40677
a0348,17531
a0349,30989
a035,5175
a035,5898
a0350,44741
a0351,44741
a0352,21205
a0353,41891
a0354,7995
a0355,11478
a0356,33886
a0357,33886
a0358,33886
a0359,11356
a036,50889
a0360,42800
a0361,42800
a0362,42800
a0363,36321
a0364,36321
a0365,4762
a0366,15966
a0367,13905
a0368,24278
a0369,5195
a037,50889
a0370,29413
a0371,29413
a0372,6942
a0373,6462
a0374,25523
a0375,25523
a0376,32456
a0377,40083
a0378,27792
a0378,9913
a0379,18854
a038,26236
a038,41374
a0380,18854
a0381,13444
a0382,13444
a0383,17428
a0384,43120
a0384,45659
a0385,45659
a0386,2274
a0387,51574
a0388,51574
a0389,35499
a039,45648
a0390,38027
a0391,38027
a0392,38027
a0393,38027
a0394,7183
a0395,38044
a0395,41234
a0396,24210
a0397,15788
a0398,6221
a0399,11373
a04,120
a04,1604
a040,19735
a040,45648
a0400,30840
a0401,21214
a0402,37134
a0403,22201
a0404,40408
a0405,11711
a0406,33700
a0407,33700
a0408,15533
a0409,5736
a041,38938
a0410,1345
a0411,3452
a0412,37304
a0413,36758
a0414,36855
a0415,36855
a0416,28608
a0416,32010
a0417,28608
a0417,32010
a0418,28608
a0419,23779
a042,38938
a0420,39097
a0421,39097
a0422,39097
a0423,39097
a0424,39097
a0425,24128
a0426,24128
a0427,35704
a0428,35704
a0429,25184
a043,44973
a0430,25184
a0431,16938
a0432,10111
a0433,46271
a0434,46271
a0435,23790
a0436,15610
a0437,15610
a0438,15610
a0439,15610
a044,27987
a0440,15610
a0441,15610
a0442,19443
a0443,52302
a0444,41881
a0444,7426
a0445,27696
a0446,27696
a0447,7669
a0448,9913
a0449,44329
a045,46969
a0450,23258
a0451,23258
a0452,23258
a0453,30688
a0454,22701
a0455,7144
a0456,23686
a0457,26367
a0458,46452
a0459,14470
a046,25573
a0460,14470
a0461,43120
a0462,44229
a0463,44229
a0464,18251
a0465,15568
a0466,37536
a0467,27935
a0468,42439
a0469,21700
a047,17148
a0470,23826
a0471,19948
a0472,21788
a0473,21788
a0474,36156
a0475,28312
a0476,28312
a0477,28312
a0478,37220
a0479,25404
a048,7533
a0480,37527
a0481,36335
a0482,36335
a0483,16325
a0484,28708
a0485,28708
a0486,19735
a0487,2049
a0488,43451
a0489,43451
a049,33448
a0490,5763
a0491,32434
a0492,32434
a0493,32866
a0494,31177
a0495,5366
a0496,44071
a0497,40453
a0498,40453
a0499,28071
a05,32748
a050,18187
a0500,38284
a0501,21794
a0502,23319
a0503,33606
a0504,23474
a0505,10069
a0506,30670
a0507,41536
a0508,2443
a0509,15808
a051,31468
a0510,39515
a0511,37926
a0512,5683
a0513,5683
a0514,11039
a0515,37729
a0516,37729
a0517,41881
a0518,1019
a0519,1019
a052,24759
a0520,1019
a0521,50876
a0522,46067
a0523,46702
a0524,46702
a0525,46702
a0526,46702
a0527,46702
a0528,4994
a0529,37782
a053,3812
a0530,32331
a0531,32010
a0532,27646
a0533,5054
a0534,21432
a0535,41406
a0536,17247
a0537,18933
a0538,8831
a0539,29056
a054,3812
a0540,1888
a0541,29698
a0542,41152
a0543,21956
a0544,12137
a0545,37152
a0546,42992
a0547,42992
a0548,20420
a0549,20420
a055,35025
a0550,4509
a0551,24685
a0552,32702
a0553,39339
a0554,430
a0555,430
a0556,2525
a0557,13229
a0558,22675
a056,29260
a057,21051
a058,21051
a059,10640
a06,32748
a060,43773
a061,37295
a062,18119
a063,30383
a064,32470
a065,20569
