authorID,bookID
A1,50842
A1,50872
A1,51047
A1,51201
A1,51288
A1,51304
A1,51331
A1,51342
A1,51351
A1,51434
A1,51449
A1,51482
A1,51493
A1,51656
A1,51657
A1,51726
A1,51767
A1,51773
A1,51801
A1,51833
A2,51656
A3,51202
A3,51305
A3,51320
A3,51351
A3,51657
A3,51832
A4,5166
A5,51668
A5,51774
A6,50948
A6,51167
A6,51310
A6,51320
A6,51668
A6,51727
A6,51809
A7,5167
A7,5168
A8,51681
A8,51810
A9,51687
A10,5106
A10,5107
A10,5108
A10,5169
A11,51460
A11,51698
A11,51736
A12,50890
A12,51699
A13,51699
A14,49731
A14,51263
A14,517
A14,518
A15,5171
A16,51713
A17,51714
A18,51716
A19,51716
A20,5172
A21,51726
A22,51727
A23,5173
A24,51730
A25,51736
A25,51804
A26,5174
A26,5175
A27,51740
A28,50736
A28,50893
A28,51361
A28,51362
A28,51445
A28,51740
A28,51741
A28,51751
A28,51774
A28,51805
A29,51741
A30,51748
A31,51751
A32,51296
A32,51752
A33,50999
A33,51112
A33,51752
A34,51755
A34,51830
A35,51091
A35,51311
A35,51337
A35,51380
A35,51413
A35,51436
A35,51478
A35,51758
A35,51759
A35,51768
A36,51091
A36,51311
A36,51337
A36,51380
A36,51413
A36,51436
A36,51478
A36,51758
A36,51759
A36,51768
A37,51758
A38,51759
A39,5176
A40,51762
A41,51767
A42,50844
A42,51768
A42,51833
A43,5177
A44,51478
A44,51773
A45,51258
A45,51267
A45,51781
A46,50713
A46,50904
A46,50928
A46,51092
A46,51122
A46,51185
A46,51273
A46,51781
A46,51810
A47,5179
A48,5180
A49,51801
A50,51310
A50,51804
A50,51809
A51,51805
A52,5181
A53,5182
A54,5183
A55,5184
A56,5184
A57,51028
A57,51232
A57,51247
A57,51353
A57,51396
A57,51408
A57,51842
A58,51201
A58,51842
A59,51158
A60,5116
A60,5117
A61,51163
A62,51167
A63,50876
A63,51046
A63,51168
A64,50766
A64,50796
A64,50826
A64,50827
A64,50835
A64,50844
A64,50848
A64,50869
A64,50877
A64,50884
A64,50969
A64,51009
A64,51121
A64,51152
